word,count
loner,2
inability,4
swearing,2
obsessed,26
sluggish,14
scarey,1
deprived,22
harassing,1
scares,5
obsesses,1
mistakenly,20
unemployment,2
regretting,3
scared,37
deprives,1
provoked,1
insignificant,2
unsavory,1
unsuccessful,6
neglectful,1
nervously,2
weak,588
leak,54
distressed,3
ghost,30
blocked,8
provokes,2
sabotage,1
sickening,19
nagging,1
dispute,4
apologizing,2
tired,243
tremble,1
hesitancy,1
suspect,133
aggression,1
shamelessly,2
torturous,1
trickling,1
polluted,5
robs,3
insulting,6
argument,9
heartbroken,2
annoyances,1
utterly,978
barrier,8
criminal,1
avoiding,41
furious,2
alarmed,9
bitterly,4
bitch,1
like,1025
ugly,16
messy,183
startle,2
fraud,5
wimp,6
regret,156
rejected,26
penalty,2
weakly,5
weep,3
challenged,15
shyly,1
alarm,5
disappointing,1306
limited,183
weakest,6
fault,134
distracted,17
fearful,3
tempers,1
arguably,5
scams,1
derail,2
arguments,2
mistaking,1
misinterpreted,1
